ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.SQLDatabaseWriter;7;2;1;1;1;0;0;0;0;5;8;28;3;0;5;1;3;0;0;0;0;0;2;0;1;0;21;5;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.util.WikipediaXMLWriter;2;0;8;3;0;0;1;0;0;0;12;129;1;0;6;0;6;0;0;0;1;1;4;0;4;0;11;0;3;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.chrono.ChronoStorage;14;0;15;0;0;1;3;0;0;0;19;82;10;0;9;0;9;0;0;0;0;3;5;2;2;0;4;2;2;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.ArticleReaderException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.control.ArchiveRegistry;6;0;0;0;0;0;1;3;1;0;4;20;2;0;10;0;10;0;0;0;0;5;2;0;0;0;5;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.ConfigGUI;1;0;0;0;0;0;0;0;0;0;0;10;2;0;2;0;2;1;0;0;0;0;1;1;0;1;5;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.TimedSQLFileWriter;7;1;2;0;0;0;0;0;0;0;2;18;3;0;4;0;3;0;0;0;1;0;2;0;1;0;12;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.dialogs.InputDialog;21;0;3;0;0;0;0;0;0;0;3;66;9;0;14;4;10;0;3;1;0;0;8;4;0;0;17;2;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.util.Surrogates;1;0;2;2;0;0;0;0;0;0;4;11;0;0;3;1;2;2;0;0;0;0;2;2;0;2;0;0;2;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.LoggingException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.chrono.ChronoStorageBlock;12;0;0;0;0;0;0;0;0;0;0;19;8;0;16;0;16;0;0;0;0;2;6;0;0;0;1;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.article.reader.TimedWikipediaXMLReader;4;0;4;0;0;0;0;0;0;0;4;29;6;0;7;0;5;0;0;0;0;0;3;2;0;0;8;0;2;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.codec.TimedSQLEncoder;14;0;0;0;1;0;0;0;0;0;1;12;2;0;7;0;5;0;0;0;0;0;6;0;3;0;9;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.indices.ChronologicOrderMapping;0;0;10;1;0;0;1;0;0;0;12;38;2;0;4;1;3;0;0;0;0;4;0;0;0;0;3;0;2;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.diff.calculation.DiffBlock;1;0;1;0;0;0;0;0;0;0;1;16;6;0;9;0;9;0;0;0;0;6;1;0;0;0;3;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.control.ConfigVerification;3;0;0;0;0;0;0;3;1;0;3;17;3;0;7;0;7;0;0;0;0;3;1;0;0;0;5;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.indices.RevisionIndex;0;0;2;0;0;0;0;0;0;0;2;6;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.IndexIterator;3;3;5;0;0;0;0;0;0;4;9;36;5;0;5;1;4;0;0;0;0;0;1;0;0;0;10;5;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.tasks.content.Diff;6;0;4;3;0;0;0;7;1;0;14;67;10;0;28;0;28;0;0;0;3;5;5;3;0;1;7;1;2;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.RevisionApi;10;30;86;0;2;0;11;0;0;26;125;404;2;0;30;8;21;1;0;0;8;27;10;6;0;3;22;57;8;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.FilterPanel;21;0;3;4;0;0;0;0;0;0;7;49;3;0;16;2;14;0;2;1;0;8;7;4;0;0;14;0;2;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.logging.messages.consumer.SQLConsumerLogMessages;9;0;1;0;0;0;0;0;0;0;1;6;0;0;5;1;4;4;0;0;1;1;8;1;2;0;6;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.codec.BitWriter;1;0;4;2;0;0;1;0;0;0;7;26;3;0;8;1;7;0;0;0;0;5;1;1;0;1;4;3;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.tasks.content.DiffPart;1;0;1;0;0;0;0;0;0;0;1;13;4;0;11;0;11;0;0;0;1;2;1;0;0;0;3;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.OutputFactory;0;3;1;0;0;0;0;3;1;3;7;22;3;0;3;2;1;3;0;0;3;0;0;0;0;0;9;3;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.ConfigurationManager;6;0;10;0;0;0;0;0;0;0;10;25;2;0;4;0;4;1;0;0;0;0;2;0;0;0;7;2;1;9;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.codec.RevisionCodecData;0;0;13;0;0;0;0;0;0;0;13;45;11;0;12;0;12;0;0;0;0;4;0;0;0;0;0;0;4;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.article.reader.ArticleFilter;2;1;7;0;3;0;0;0;0;1;11;28;7;0;5;1;4;0;0;0;1;0;2;2;2;0;11;0;2;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.article.reader.WikipediaXMLReader;14;3;22;1;1;0;5;35;6;6;70;246;9;0;13;4;6;0;0;0;1;0;4;2;0;0;27;9;7;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.DebugPanel;21;0;11;0;0;0;0;0;0;0;11;84;6;0;13;3;10;0;4;0;0;0;8;5;0;0;15;0;1;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.control.ConfigController;20;2;10;0;0;0;0;2;1;2;14;86;16;0;38;1;37;0;0;0;2;10;6;0;0;0;10;0;3;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.util.LetterNode;1;0;2;0;0;0;0;0;0;0;2;19;4;0;8;0;8;0;0;0;2;2;1;0;0;0;1;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.codec.RevisionEncoder;7;0;4;0;0;2;1;7;1;0;14;100;4;0;11;8;3;0;0;0;0;0;13;0;0;0;11;1;3;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.InputPanel;21;0;11;1;0;0;0;3;1;0;15;128;12;0;22;6;16;0;6;1;0;0;14;8;0;0;23;2;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.logging.Logger;5;7;6;0;2;0;0;4;1;7;19;58;4;0;9;2;7;0;0;0;6;0;8;7;0;0;8;2;1;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.writer.DatabaseWriter;4;0;0;0;0;0;1;0;0;0;1;37;1;0;4;0;4;0;0;0;0;0;2;0;0;0;6;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.DiffException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.TimedSQLArchiveWriter;7;1;2;0;0;0;0;0;0;0;2;18;3;0;4;0;3;0;0;0;1;0;2;0;1;0;12;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.control.ConfigSettings;5;1;3;0;0;0;0;0;0;1;4;47;3;0;13;0;13;0;0;0;1;1;5;1;0;0;15;0;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.indices.TitelIDMapping;1;0;2;0;0;0;2;0;0;0;4;22;3;0;4;0;4;1;0;0;1;0;1;1;0;1;6;0;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.logging.messages.consumer.ConsumerLogMessages;7;0;0;0;0;0;0;0;0;0;0;12;0;0;13;1;12;12;0;0;0;4;15;2;0;0;5;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.SQLArchiveWriter;7;1;4;0;2;0;0;0;0;2;8;35;10;0;6;1;3;0;0;0;1;0;2;0;1;0;21;2;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.tasks.Task;3;0;1;0;0;0;0;0;0;0;1;26;5;0;17;0;16;3;0;0;0;2;4;0;0;0;6;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.ConfigPanel;21;0;0;0;0;0;0;0;0;0;0;41;4;0;12;4;8;0;3;0;0;0;7;4;0;0;7;2;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.archive.ArchiveManager;0;0;1;0;0;0;0;0;0;0;1;7;1;0;5;0;5;0;0;0;0;0;0;0;0;0;3;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.dialogs.XMLFileChooser;1;0;2;0;0;0;0;0;0;0;2;7;0;0;3;0;3;0;1;0;0;0;1;1;0;0;3;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.TimedSQLDatabaseWriter;7;1;2;0;0;0;0;0;0;0;2;18;3;0;4;0;3;0;0;0;0;0;2;0;1;0;13;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.SQLConsumerException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.chrono.ChronoIterator;4;2;17;1;0;0;3;0;0;1;22;107;8;0;4;0;4;0;0;0;3;0;2;1;0;0;11;1;3;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.RevisionIterator;5;4;20;0;0;0;1;0;0;8;29;121;13;0;15;2;13;2;0;0;0;7;9;4;0;1;16;11;3;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.DecodingException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.codec.BitReader;1;0;6;1;0;0;0;0;0;0;7;27;4;0;5;0;5;0;0;0;0;1;1;1;0;1;3;2;2;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.chrono.ChronoFullRevision;12;0;17;1;0;2;1;0;0;0;21;76;8;0;16;0;16;0;0;0;0;7;4;0;0;0;6;0;4;4;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.dialogs.ConfigDialog;21;0;4;0;0;0;0;0;0;0;4;36;4;0;11;2;9;0;2;1;0;0;7;3;0;0;14;2;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.DiffTool;1;1;1;0;0;0;0;0;0;1;2;6;0;0;3;2;1;2;0;0;1;0;1;1;0;1;5;1;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.tasks.info.ArticleInformation;0;0;0;0;0;0;0;0;0;0;0;83;15;0;32;0;32;0;0;0;1;14;0;0;0;0;2;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.TimeoutException;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;2;0;2;2;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.diff.calculation.TimedDiffCalculator;13;0;2;0;0;0;0;0;0;0;2;28;6;0;6;0;2;0;0;0;0;1;6;0;4;0;10;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.control.ComponentRegistry;20;0;1;0;0;0;0;0;0;0;1;24;2;0;7;0;7;0;0;0;0;0;6;1;0;0;5;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.api.RevisionAPIConfiguration;2;0;0;0;0;0;0;0;0;0;0;31;6;0;14;0;14;0;0;0;2;3;2;1;0;0;2;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.archive.ArchiveDescription;1;0;0;0;0;0;0;0;0;0;0;7;3;0;6;0;6;0;0;0;1;1;1;0;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.util.SingleKeywordTree;1;0;1;0;0;0;0;0;0;0;1;10;2;0;6;0;6;0;0;0;1;1;1;0;0;0;0;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.diff.calculation.DiffCalculator;15;1;26;6;0;0;6;0;0;2;40;171;28;0;13;5;4;0;0;0;0;4;14;6;6;5;25;3;10;5;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.logging.messages.consumer.DiffConsumerLogMessages;10;0;1;0;0;0;0;0;0;0;1;9;0;0;8;1;7;7;0;0;0;5;14;1;4;0;7;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.ConfigMenuBar;21;0;0;0;0;0;0;0;0;0;0;17;1;0;6;1;5;0;4;0;0;0;5;4;0;0;6;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.CachePanel;20;3;9;0;0;0;0;0;0;3;12;78;8;0;7;2;5;0;0;0;0;0;4;1;0;0;11;0;3;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.ConfigurationReader;7;0;45;14;0;0;0;0;0;0;59;179;43;0;15;13;2;0;0;0;1;0;28;13;0;0;18;1;14;9;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.consumer.sql.writer.SQLFileWriter;7;1;4;0;2;0;0;0;0;2;8;33;10;0;6;1;3;0;0;0;1;0;2;0;1;0;24;2;1;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.data.codec.RevisionDecoder;3;1;21;4;0;1;3;7;1;1;37;125;2;0;15;9;6;0;0;0;2;20;5;4;0;3;14;16;3;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.archivers.Bzip2Archiver;0;1;2;0;0;0;2;0;0;1;5;30;2;0;4;0;4;0;0;0;5;0;0;0;0;0;10;0;2;2;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.LoggingPanel;20;0;4;0;0;0;0;0;0;0;4;37;3;0;6;1;5;0;0;0;0;0;4;1;0;0;14;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.exceptions.ErrorFactory;2;0;0;0;0;0;0;0;0;0;0;18;0;0;19;1;18;18;0;0;9;1;24;6;0;0;0;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.index.writer.SQLFileWriter;4;0;0;0;0;0;1;0;0;0;1;21;1;0;4;0;4;0;0;0;0;0;2;0;0;0;10;0;0;1;
de.tudarmstadt.ukp.wikipedia.revisionmachine.common.logging.messages.DiffToolLogMessages;6;0;0;0;0;0;0;0;0;0;0;5;0;0;6;1;5;5;0;0;0;8;7;2;0;0;3;0;0;0;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.panels.ModePanel;20;2;8;0;0;0;0;0;0;2;10;52;4;0;7;2;5;0;0;0;0;0;4;1;0;0;11;0;2;3;
de.tudarmstadt.ukp.wikipedia.revisionmachine.difftool.config.gui.data.ConfigItem;2;0;0;0;0;0;0;0;0;0;0;6;3;0;4;0;4;0;0;0;1;0;2;0;0;0;0;0;0;0;
