ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.jacoco.core.internal.analysis.MethodAnalyzer;7;0;9;1;5;0;0;0;0;0;15;75;12;0;29;5;23;0;0;1;13;23;25;24;0;8;10;0;3;2;
org.jacoco.core.internal.instr.FrameTracker;8;0;19;5;3;0;1;183;9;0;211;521;5;0;29;13;16;0;0;0;13;26;24;24;0;9;5;13;7;6;
org.jacoco.core.internal.analysis.StringPool;1;0;4;1;0;0;0;0;0;0;5;14;2;0;2;0;2;0;0;0;1;0;1;1;0;1;2;0;0;1;
org.jacoco.core.analysis.CoverageNodeImpl;4;0;0;0;1;0;0;6;1;0;7;47;8;0;14;0;14;0;0;0;1;0;4;1;1;0;2;1;0;1;
org.jacoco.core.analysis.CoverageBuilder;1;0;4;0;0;0;0;0;0;0;4;14;2;0;6;1;5;0;0;0;3;0;1;0;0;0;6;1;1;2;
org.jacoco.core.data.SessionInfo;1;0;3;0;0;0;0;0;0;0;3;14;3;0;6;0;6;0;0;0;1;2;1;0;0;0;0;1;0;1;
org.jacoco.core.internal.instr.InstrSupport;1;0;4;0;0;0;0;0;0;0;4;9;6;0;3;1;2;2;0;0;2;1;1;1;0;0;5;1;1;3;
org.jacoco.core.runtime.URLStreamHandlerRuntime;8;0;0;0;0;0;0;0;0;0;0;27;5;0;8;1;6;0;2;0;1;2;4;3;0;0;9;1;0;0;
org.jacoco.core.data.ExecutionDataStore;5;0;3;0;3;0;0;0;0;0;6;19;1;0;9;0;9;0;0;0;1;2;6;1;0;0;3;0;0;1;
org.jacoco.core.runtime.WildcardMatcher;0;0;1;0;2;0;0;3;1;0;6;19;1;0;3;1;2;1;0;0;3;0;0;0;0;0;1;0;2;2;
org.jacoco.core.runtime.SystemPropertiesRuntime;7;0;0;0;0;0;0;0;0;0;0;10;2;0;4;0;4;0;0;0;1;2;2;1;0;0;2;0;0;0;
org.jacoco.core.internal.analysis.CounterImpl;3;0;3;2;0;0;0;6;1;0;11;48;7;0;19;0;18;2;0;2;0;14;4;1;0;0;1;1;1;2;
org.jacoco.core.internal.flow.MethodSanitizer;3;0;2;0;0;0;0;0;0;0;2;5;0;0;3;0;2;0;0;0;6;3;5;5;0;1;3;0;0;1;
org.jacoco.core.runtime.RuntimeData;6;0;2;0;0;0;0;0;0;0;2;42;3;3;10;0;10;2;0;0;4;6;7;5;0;1;8;0;0;1;
org.jacoco.core.analysis.Analyzer;11;3;1;0;1;0;2;5;1;2;11;42;3;0;13;5;8;0;1;0;8;1;12;10;0;1;18;2;1;2;
org.jacoco.core.internal.analysis.MethodCoverageImpl;1;0;1;0;0;0;0;0;0;0;1;10;2;0;5;0;5;0;0;0;3;1;2;0;0;0;2;0;0;1;
org.jacoco.core.runtime.OfflineInstrumentationAccessGenerator;1;0;0;0;0;0;0;0;0;0;0;7;1;0;3;0;2;0;0;0;2;2;1;1;0;0;4;0;0;0;
org.jacoco.core.internal.data.CRC64;1;0;1;2;1;0;0;0;0;0;4;12;2;0;2;1;1;1;0;0;0;0;1;1;0;1;0;0;1;3;
org.jacoco.core.internal.analysis.PackageCoverageImpl;2;0;1;0;1;0;0;0;0;0;2;9;2;0;3;0;3;0;0;0;1;0;2;2;2;0;5;0;1;2;
org.jacoco.core.JaCoCo;0;0;0;0;0;0;0;0;0;0;0;3;3;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
