ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
com.facebook.FacebookGraphObjectException;1;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;2;0;2;2;0;0;0;0;0;0;
com.facebook.widget.ProfilePictureView;8;1;20;0;0;0;0;10;2;1;31;132;25;0;27;9;13;0;1;0;1;13;13;10;0;0;16;1;3;4;
com.facebook.internal.ServerProtocol;2;1;3;0;0;0;0;0;0;1;4;23;31;0;5;0;5;5;0;0;2;1;2;2;0;0;9;0;0;1;
com.facebook.AccessToken;8;1;19;0;0;0;0;0;0;1;20;101;28;0;31;11;9;13;0;2;8;0;45;34;13;0;11;2;2;3;
com.facebook.internal.CacheableRequestBatch;75;0;0;0;0;0;0;0;0;0;0;5;2;0;6;0;6;0;0;0;1;1;1;0;0;0;2;0;0;0;
com.facebook.TestSession;13;0;16;0;3;0;0;0;0;0;19;101;12;0;34;12;13;13;0;1;8;2;22;13;6;0;11;4;4;2;
com.facebook.widget.GraphObjectAdapter;19;2;70;3;8;1;0;8;2;2;92;260;27;0;61;7;35;1;2;1;7;14;41;19;5;0;18;4;25;3;
com.facebook.UiLifecycleHelper;7;0;30;0;0;0;0;0;0;0;30;85;9;0;15;3;12;0;0;1;0;6;13;8;0;0;14;1;6;3;
com.facebook.GetTokenClient;2;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;2;2;0;0;4;0;0;0;
com.facebook.internal.AnalyticsEvents;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
com.facebook.ProgressNoopOutputStream;75;0;1;0;0;0;0;0;0;0;1;13;5;0;8;0;4;0;0;0;0;4;4;3;0;2;4;0;0;1;
com.facebook.widget.GraphObjectPagingLoader;77;0;14;0;0;0;0;0;0;0;14;67;9;0;18;4;13;0;3;0;0;5;11;2;2;0;8;1;3;2;
com.facebook.widget.FriendPickerFragment;80;1;9;0;1;0;0;0;0;1;11;67;9;0;29;3;15;0;1;1;3;3;17;10;5;0;14;1;2;3;
com.facebook.widget.LoginButton;87;0;47;0;0;0;0;0;0;0;47;191;25;0;65;9;45;0;3;3;5;6;45;22;5;0;29;3;9;6;
com.facebook.FacebookServiceException;7;0;0;0;0;0;0;0;0;0;0;4;2;0;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;
com.facebook.internal.AttributionIdentifiers;1;2;10;0;0;0;0;0;0;2;12;37;12;0;5;1;4;2;0;0;0;0;2;2;0;0;7;1;0;1;
com.facebook.BoltsMeasurementEventListener;2;1;1;0;1;0;0;0;0;0;2;14;6;0;6;3;1;1;0;0;0;0;4;4;0;0;6;0;0;1;
com.facebook.NativeAppCallContentProvider;6;2;1;0;0;0;0;0;0;2;3;18;3;0;11;0;9;1;0;0;7;0;15;14;0;4;10;2;0;1;
com.facebook.internal.PendingCallStore;3;0;7;0;2;0;0;0;0;0;9;20;4;0;8;2;6;2;0;0;1;0;5;4;0;0;7;0;1;3;
com.facebook.ProgressOutputStream;76;0;5;0;2;0;0;0;0;0;7;31;5;0;11;2;6;0;1;0;0;5;6;4;1;2;5;0;1;4;
com.facebook.widget.ToolTipPopup;3;0;10;0;0;0;0;0;0;0;10;56;13;0;16;4;12;0;3;1;1;3;4;3;0;0;12;0;3;2;
com.facebook.LegacyHelper;75;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;2;1;0;0;1;0;0;0;
com.facebook.android.DialogError;0;0;0;0;0;0;0;0;0;0;0;5;3;0;3;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;
com.facebook.internal.ImageResponse;3;0;0;0;0;0;0;0;0;0;0;8;4;0;5;0;4;0;0;0;0;1;3;2;0;0;1;0;0;0;
com.facebook.widget.SimpleGraphObjectCursor;2;0;4;0;0;0;0;0;0;0;4;37;5;0;22;0;20;0;0;0;0;5;2;1;2;0;4;2;0;1;
com.facebook.Session;75;8;104;0;5;0;0;23;5;9;141;589;81;26;154;31;77;18;9;11;23;25;141;70;13;0;21;16;18;4;
com.facebook.SharedPreferencesTokenCachingStrategy;3;3;43;9;11;0;0;0;0;4;67;163;26;0;7;2;5;0;0;0;3;0;6;6;0;0;13;0;5;20;
com.facebook.AppEventsLogger;89;9;65;0;9;0;0;0;0;12;86;362;56;20;96;34;50;40;8;8;26;20;78;43;4;0;34;5;16;3;
com.facebook.FacebookAppLinkResolver;78;4;11;1;2;0;0;0;0;4;18;56;9;2;8;4;4;4;2;0;3;1;9;8;2;0;11;0;2;3;
com.facebook.RequestProgress;75;0;4;0;0;0;0;0;0;0;4;16;4;0;7;0;1;0;1;0;0;2;2;1;0;0;1;0;1;3;
com.facebook.android.Facebook;81;3;44;1;1;0;1;0;0;3;50;214;33;9;51;10;38;3;1;3;15;9;53;33;1;4;19;4;7;4;
com.facebook.AppEventsConstants;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
