ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
jmetal.problems.DTLZ.DTLZ7;6;0;2;5;0;0;0;0;0;0;7;33;0;0;3;0;3;0;0;0;2;0;3;2;0;0;6;0;1;2;
jmetal.experiments.studies.ZDTStudy;2;1;1;2;0;0;0;0;0;3;6;36;0;0;2;0;2;1;0;0;1;1;2;2;0;2;12;0;1;2;
jmetal.problems.DTLZ.DTLZ5;6;0;3;8;0;0;0;0;0;0;11;40;0;0;3;0;3;0;0;0;2;0;3;2;0;0;6;0;2;2;
jmetal.problems.DTLZ.DTLZ6;6;0;3;8;0;0;0;0;0;0;11;40;0;0;3;0;3;0;0;0;2;0;3;2;0;0;6;0;2;2;
jmetal.util.avl.AvlNode;3;0;6;0;0;0;0;0;0;0;6;40;6;0;20;0;20;0;0;0;0;1;6;0;1;0;0;0;1;3;
jmetal.util.comparators.AggregativeComparator;1;0;4;0;0;0;0;0;0;0;4;11;0;0;1;0;1;0;0;0;0;0;2;2;0;0;2;0;2;2;
jmetal.test.experiments.settings.pNSGAII_SettingsTest;0;0;0;0;0;0;0;0;0;0;0;14;1;0;3;0;3;0;0;0;0;0;0;0;0;0;16;0;0;0;
jmetal.experiments.settings.NSGAII_Settings;1;1;0;0;0;0;0;0;0;1;1;50;6;0;3;0;3;0;0;0;1;0;1;1;0;0;13;0;0;1;
jmetal.test.experiments.settings.NSGAII_SettingsTest;0;0;0;0;0;0;0;0;0;0;0;14;1;0;3;0;3;0;0;0;0;0;0;0;0;0;16;0;0;0;
jmetal.experiments.settings.AbYSS_Settings;1;1;0;0;0;0;0;0;0;1;1;68;10;0;3;0;3;0;0;0;1;0;1;1;0;0;12;0;0;1;
