ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.hibernate.search.query.engine.QueryTimeoutException;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;1;0;0;1;2;0;2;2;0;0;3;0;0;0;
org.hibernate.search.indexes.serialization.javaserialization.impl.SerializableIntField;2;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;
org.hibernate.search.query.fieldcache.impl.ClassLoadingStrategySelector;1;0;8;0;0;0;0;0;0;0;8;18;0;0;3;1;2;2;0;0;0;0;2;0;0;0;30;0;2;6;
org.hibernate.search.backend.DeleteLuceneWork;3;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;1;0;3;2;2;0;2;0;0;0;
org.hibernate.search.engine.impl.DynamicShardingStrategy;23;0;0;0;1;0;0;0;0;0;1;12;4;0;8;1;5;0;0;0;3;0;12;9;3;2;10;0;0;1;
org.hibernate.search.indexes.serialization.javaserialization.impl.JavaSerializationSerializationProvider;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;
org.hibernate.search.bridge.builtin.impl.BuiltinNumericMapBridge;4;0;2;0;0;0;0;0;0;0;2;7;0;0;4;1;3;0;1;0;2;0;6;3;0;0;3;0;0;1;
org.hibernate.search.backend.impl.lucene.ExclusiveIndexWorkspaceImpl;12;0;2;0;0;0;0;0;0;0;2;7;0;0;4;0;4;0;0;0;0;2;4;1;0;0;4;0;1;2;
org.hibernate.search.util.impl.FilterCacheModeTypeHelper;1;0;0;0;0;0;0;8;2;0;8;18;0;0;3;1;2;2;0;0;0;0;2;0;0;0;2;2;0;1;
org.hibernate.search.cfg.IndexedClassBridgeMapping;19;0;1;0;0;0;0;0;0;0;1;42;4;0;20;1;19;0;0;0;7;1;23;7;6;0;10;0;0;1;
org.hibernate.search.store.impl.FSDirectoryProvider;14;2;2;0;0;0;0;0;0;2;4;14;3;0;6;0;6;0;0;0;1;0;4;2;0;0;10;1;0;1;
org.hibernate.search.bridge.builtin.FloatBridge;0;0;1;0;0;0;0;0;0;0;1;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;
org.hibernate.search.util.impl.HibernateSearchResourceLoader;0;2;4;0;0;0;1;0;0;0;5;20;1;0;5;0;5;0;0;0;5;0;0;0;0;0;10;2;1;2;
org.hibernate.search.query.dsl.impl.QueryCustomizer;2;0;3;0;0;0;0;0;0;0;3;16;4;0;5;0;5;0;0;0;0;1;2;2;0;0;7;1;0;1;
org.hibernate.search.indexes.serialization.javaserialization.impl.SerializableBinaryField;2;0;0;0;0;0;0;0;0;0;0;7;3;0;4;0;4;0;0;0;0;0;1;0;0;0;1;0;0;0;
org.hibernate.search.backend.impl.StreamingSelectionVisitor;14;0;0;0;3;0;0;0;0;0;3;13;5;0;11;1;10;0;0;4;0;4;18;0;0;0;14;0;0;1;
org.hibernate.search.backend.impl.jgroups.MessageListenerToRequestHandlerAdapter;2;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;0;2;2;0;0;3;0;0;0;
