ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
backtype.storm.utils.WritableUtils;4;0;18;7;0;0;3;0;0;0;28;100;0;0;20;0;20;20;0;0;2;6;20;20;0;4;3;1;2;2;
backtype.storm.transactional.partitioned.PartitionedTransactionalSpoutExecutor;9;0;2;1;1;0;0;0;0;0;4;25;7;0;15;0;15;0;1;2;0;0;18;18;0;0;11;0;2;2;
backtype.storm.testing.MemoryTransactionalSpout;8;0;7;1;1;0;0;0;0;0;9;41;8;0;17;2;15;0;0;2;0;3;14;14;1;0;15;0;2;3;
storm.trident.state.TransactionalValue;2;0;0;0;0;0;0;0;0;0;0;5;2;0;4;0;4;0;0;0;0;0;2;1;0;0;5;0;0;0;
backtype.storm.testing.CountingCommitBolt;6;0;0;0;0;0;0;0;0;0;0;5;3;0;4;0;4;0;0;0;0;0;6;6;0;0;10;0;0;0;
storm.trident.state.JSONOpaqueSerializer;2;2;0;0;0;0;0;0;0;2;2;9;0;0;2;0;2;0;0;0;0;0;2;2;0;1;4;2;0;1;
backtype.storm.topology.base.BaseBatchBolt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
backtype.storm.generated.DRPCExecutionException;6;2;20;0;0;0;1;5;4;2;28;98;4;0;24;2;22;0;0;0;2;2;12;6;0;0;15;6;3;2;
backtype.storm.coordination.BatchOutputCollector;2;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;5;0;0;0;2;2;5;5;4;0;2;0;0;0;
backtype.storm.metric.api.ReducedMetric;2;0;0;0;0;0;0;0;0;0;0;5;2;0;3;0;3;0;0;0;0;0;2;2;0;0;0;0;0;0;
backtype.storm.tuple.Values;1;0;0;0;1;0;0;0;0;0;1;3;0;0;2;0;2;0;0;0;0;0;1;1;0;0;1;0;0;1;
storm.trident.tuple.TridentTupleView;11;0;3;2;4;0;0;0;0;0;9;82;14;0;52;2;50;3;0;4;12;11;21;20;4;2;17;1;1;2;
storm.trident.tuple.ConsList;2;0;1;0;0;0;0;0;0;0;1;6;2;0;3;0;3;0;0;0;0;1;2;2;1;0;2;0;0;1;
storm.trident.testing.CountAsAggregator;4;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;1;0;0;7;5;0;0;6;0;0;0;
backtype.storm.spout.ShellSpout;8;2;14;0;0;0;1;6;1;3;24;89;10;0;17;6;11;0;0;1;1;0;10;9;0;0;19;8;1;6;
backtype.storm.nimbus.DefaultTopologyValidator;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;3;3;0;0;3;0;0;0;
backtype.storm.utils.RegisteredGlobalState;1;0;0;0;0;0;0;0;0;0;0;10;2;4;5;0;5;5;0;0;3;0;2;2;0;0;2;0;0;0;
backtype.storm.transactional.state.RotatingTransactionalState;4;0;11;0;2;0;0;0;0;0;13;45;4;0;12;3;9;0;0;0;3;1;12;10;0;0;6;3;1;3;
backtype.storm.transactional.TransactionalSpoutBatchExecutor;6;1;3;0;0;0;0;0;0;1;4;21;5;0;6;0;6;0;0;0;0;0;6;6;0;0;12;0;1;2;
storm.trident.partition.GlobalGrouping;4;0;0;0;0;0;0;0;0;0;0;3;1;0;2;0;2;0;0;0;0;1;4;4;2;0;7;0;0;0;
storm.trident.util.TridentUtils;7;2;8;0;5;0;0;0;0;2;15;41;2;0;9;0;9;9;0;0;0;0;14;11;0;1;17;5;3;2;
storm.trident.state.JSONNonTransactionalSerializer;2;2;0;0;0;0;0;0;0;2;2;6;0;0;2;0;2;0;0;0;0;0;2;2;0;1;4;2;0;1;
storm.trident.operation.impl.ChainedAggregatorImpl;11;0;4;6;1;0;1;0;0;0;12;41;4;0;7;1;6;0;0;0;0;1;14;14;0;4;10;1;1;3;
storm.trident.planner.processor.StateQueryProcessor;7;0;3;1;0;0;0;0;0;0;4;22;9;0;7;0;7;0;0;1;2;0;9;9;0;0;13;2;1;2;
backtype.storm.drpc.ReturnResults;5;1;3;0;1;0;0;0;0;1;5;17;4;0;4;0;4;0;1;0;0;0;5;5;0;0;17;0;1;3;
storm.trident.testing.FixedBatchSpout;5;0;2;1;1;0;0;0;0;0;4;19;6;0;8;0;8;0;0;0;0;4;5;5;1;0;9;0;1;2;
backtype.storm.testing.TestAggregatesCounter;5;0;0;0;1;0;0;0;0;0;1;8;3;0;4;0;4;0;0;0;0;0;5;5;0;0;11;0;0;1;
storm.trident.operation.builtin.Count;2;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0;3;3;0;0;2;0;0;0;
backtype.storm.utils.ThriftTopologyUtils;1;0;4;0;2;0;0;0;0;0;6;13;0;0;2;0;2;2;0;0;1;0;2;2;0;0;8;2;1;3;
storm.trident.planner.NodeStateInfo;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;1;0;1;1;0;0;2;0;0;0;
backtype.storm.utils.WindowedTimeThrottler;1;0;1;0;0;0;0;0;0;0;1;10;4;0;4;1;3;0;0;0;0;0;2;2;0;0;0;0;0;1;
storm.trident.operation.impl.TrueFilter;3;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;0;0;0;0;3;3;0;0;4;0;0;0;
backtype.storm.drpc.DRPCSpout;6;3;9;1;2;0;0;0;0;3;15;45;7;0;9;0;9;0;0;1;3;1;7;7;0;0;20;2;2;3;
backtype.storm.testing.TestPlannerBolt;5;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;5;5;0;0;7;0;0;0;
backtype.storm.generated.DistributedRPC;11;5;69;0;0;0;2;18;8;5;94;337;17;0;79;5;71;1;0;9;14;6;50;34;4;0;15;13;11;2;
storm.trident.operation.builtin.Debug;1;0;0;0;0;0;0;0;0;0;0;4;1;0;3;0;3;0;0;0;1;0;1;1;0;0;2;0;0;0;
storm.trident.planner.processor.AggregateProcessor;7;0;1;0;0;0;0;0;0;0;1;16;5;0;7;0;7;0;0;0;1;0;9;9;0;0;17;1;0;1;
backtype.storm.utils.Utils;17;7;31;1;5;0;4;0;0;8;49;144;3;0;34;2;32;34;0;0;14;5;37;35;9;1;41;10;8;4;
backtype.storm.topology.base.BaseRichSpout;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;2;2;0;0;1;0;0;0;
backtype.storm.messaging.netty.StormClientErrorHandler;2;0;1;0;0;0;0;0;0;0;1;3;2;0;2;0;1;0;0;0;1;0;2;2;0;0;4;0;0;1;
backtype.storm.serialization.KryoTupleSerializer;3;1;0;0;0;0;0;0;0;1;1;11;3;0;2;0;2;0;0;0;0;0;3;3;0;0;5;1;0;1;
backtype.storm.testing.MkClusterParam;2;0;0;0;0;0;0;0;0;0;0;6;3;0;6;0;6;0;0;0;0;0;3;3;0;0;1;0;0;0;
storm.trident.operation.builtin.Negate;4;0;0;0;0;0;0;0;0;0;0;4;1;0;4;0;4;0;0;0;0;0;4;4;0;0;4;0;0;0;
storm.trident.operation.builtin.FilterNull;1;0;1;0;1;0;0;0;0;0;2;4;0;0;1;0;1;0;0;0;0;0;1;1;0;0;2;0;1;2;
storm.trident.spout.TridentSpoutCoordinator;6;0;1;0;0;0;0;0;0;0;1;15;7;0;6;0;6;0;0;0;1;0;6;6;0;0;15;0;0;1;
backtype.storm.tuple.Fields;3;0;2;1;2;0;0;0;0;0;5;22;2;0;11;1;10;0;0;0;3;1;3;2;2;0;7;2;1;2;
