classId;Java imports

org.hibernate.internal.util.collections.ConcurrentReferenceHashMap;java.util.Enumeration;java.util.Map;java.util.Hashtable;java.lang.ref.Reference;java.util.AbstractMap;java.util.HashMap;java.io.IOException;java.util.AbstractSet;java.lang.ref.SoftReference;java.lang.ref.ReferenceQueue;java.util.IdentityHashMap;java.util.Iterator;java.lang.ref.WeakReference;java.util.EnumSet;java.util.AbstractCollection;java.util.concurrent.locks.ReentrantLock;java.util.Set;java.util.NoSuchElementException;java.io.Serializable;java.util.ConcurrentModificationException;java.util.Collection
org.hibernate.metamodel.relational.Tuple;java.util.LinkedHashSet
org.hibernate.internal.util.MarkerObject;java.io.Serializable
org.hibernate.type.LongType;java.util.Comparator;java.io.Serializable;org.hibernate.type.descriptor.java.LongTypeDescriptor
org.hibernate.mapping.PersistentClass;java.util.ArrayList;java.util.Iterator;java.util.HashSet;java.util.StringTokenizer;java.util.Set;java.io.Serializable;java.util.HashMap
org.hibernate.type.descriptor.sql.NCharTypeDescriptor;java.sql.Types
org.hibernate.type.descriptor.java.BigDecimalTypeDescriptor;java.math.BigInteger;java.math.BigDecimal
org.hibernate.service.jmx.internal.DisabledJmxServiceImpl;java.sql.Connection;java.util.Map;java.sql.DatabaseMetaData
org.hibernate.cfg.beanvalidation.IntegrationException
org.hibernate.dialect.unique.DB2UniqueDelegate;java.util.Iterator
org.hibernate.service.jta.platform.internal.JOnASJtaPlatform;java.lang.reflect.Method
org.hibernate.sql.ordering.antlr.NodeSupport
org.hibernate.action.internal.EntityVerifyVersionProcess
org.hibernate.criterion.NullExpression
org.hibernate.transform.DistinctResultTransformer;java.util.ArrayList;java.util.List;java.util.HashSet;java.util.Set
org.hibernate.mapping.PrimaryKey;java.util.Iterator
org.hibernate.engine.internal.SessionEventListenerManagerImpl;java.util.ArrayList;java.util.List;java.io.Serializable
org.hibernate.metamodel.source.annotations.xml.mocker.AbstractAttributesBuilder;java.util.List
org.hibernate.hql.internal.ast.tree.ParameterNode
