ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.objectweb.asm.util.CheckFieldAdapter;26;0;3;0;0;0;0;0;0;0;3;20;1;0;7;1;5;0;0;0;2;4;4;0;0;0;6;3;0;1;
org.objectweb.asm.AnnotationVisitor;2;0;6;0;0;0;0;0;0;0;6;17;2;0;7;0;7;0;0;0;7;2;2;1;0;0;0;1;0;1;
org.objectweb.asm.tree.analysis.BasicValue;7;0;6;0;0;0;0;0;0;0;6;19;8;0;7;0;7;0;0;0;0;0;2;1;0;0;1;0;2;3;
org.objectweb.asm.commons.Remapper;9;0;11;4;0;0;0;5;2;0;20;61;0;0;12;1;10;0;0;0;13;1;4;2;0;1;5;0;1;3;
org.objectweb.asm.tree.LabelNode;26;0;1;0;0;0;0;0;0;0;1;10;1;0;7;0;7;0;0;0;0;0;3;1;1;0;3;0;0;1;
org.objectweb.asm.tree.MethodNode;25;0;42;18;0;0;1;0;0;0;61;191;22;0;41;2;38;0;1;0;27;38;34;14;0;11;13;8;12;3;
org.objectweb.asm.MethodWriter;25;0;259;26;0;1;22;70;8;0;378;1169;64;0;49;10;30;6;0;0;24;49;43;20;0;17;0;3;52;6;
org.objectweb.asm.tree.analysis.SimpleVerifier;10;1;30;2;0;1;0;11;2;1;45;99;5;0;14;0;6;0;0;0;0;4;21;3;2;0;2;3;7;5;
org.objectweb.asm.tree.analysis.BasicVerifier;36;0;21;1;0;0;1;121;4;0;144;276;0;0;11;0;7;0;0;0;0;1;20;1;1;0;6;19;3;3;
org.objectweb.asm.optimizer.MethodOptimizer;33;0;2;0;0;0;0;0;0;0;2;39;1;0;11;0;11;0;0;0;8;12;11;3;0;2;10;0;0;1;
org.objectweb.asm.commons.RemappingMethodAdapter;32;0;2;2;0;1;0;0;0;0;5;31;1;0;19;1;17;0;0;0;22;23;22;8;0;6;6;0;1;3;
org.objectweb.asm.commons.Method;8;0;7;0;0;1;1;0;0;0;9;52;3;0;14;1;13;5;0;0;6;2;5;4;1;1;3;1;2;3;
org.objectweb.asm.util.CheckClassAdapter;29;1;51;9;0;0;10;35;3;1;106;281;7;0;35;13;18;21;0;0;34;28;18;8;1;3;24;22;10;3;
org.objectweb.asm.commons.RemappingFieldAdapter;33;0;0;0;0;0;0;0;0;0;0;5;1;0;4;0;3;0;0;0;2;4;5;0;0;0;4;0;0;0;
org.objectweb.asm.tree.TryCatchBlockNode;27;0;2;2;2;0;0;0;0;0;6;18;6;0;3;0;3;0;0;0;1;1;4;0;0;0;2;0;2;2;
org.objectweb.asm.optimizer.ConstantPool;26;0;23;1;0;0;0;0;0;0;24;103;5;0;16;3;13;0;0;0;17;6;5;2;0;0;4;1;3;8;
org.objectweb.asm.Attribute;25;0;0;0;0;0;3;0;0;0;3;23;3;0;9;0;2;0;0;0;1;12;10;5;0;5;0;0;0;1;
org.objectweb.asm.tree.InnerClassNode;25;0;0;0;0;0;0;0;0;0;0;5;4;0;2;0;2;0;0;0;3;1;1;0;0;0;1;0;0;0;
org.objectweb.asm.tree.FieldInsnNode;26;0;0;0;0;0;0;0;0;0;0;9;3;0;5;0;5;0;0;0;3;2;2;1;1;0;2;0;0;0;
org.objectweb.asm.commons.SimpleRemapper;1;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;5;0;0;0;9;0;1;1;1;0;2;0;0;0;
org.objectweb.asm.xml.SAXCodeAdapter;28;0;8;6;0;0;0;6;1;0;20;142;3;0;33;3;30;1;0;0;21;36;29;11;0;8;11;0;1;3;
org.objectweb.asm.TypePath;1;0;5;2;0;0;1;5;1;0;13;41;6;0;6;0;5;1;0;0;1;3;1;1;0;1;0;0;2;6;
org.objectweb.asm.Label;25;0;20;1;0;0;3;0;0;0;24;75;24;0;11;1;3;0;0;0;0;10;6;1;0;1;0;1;4;4;
org.objectweb.asm.tree.IntInsnNode;26;0;0;0;0;0;0;0;0;0;0;7;1;0;5;0;5;0;0;0;0;3;2;1;1;0;2;0;0;0;
org.objectweb.asm.commons.StaticInitMerger;25;0;3;0;0;0;0;0;0;0;3;16;4;0;5;0;4;0;0;0;8;4;4;2;0;2;3;0;1;2;
org.objectweb.asm.tree.analysis.BasicInterpreter;36;0;13;0;0;0;0;144;5;0;157;230;0;0;11;0;10;0;0;0;0;1;20;1;1;0;12;7;2;8;
org.objectweb.asm.tree.analysis.Subroutine;29;0;3;2;0;0;0;0;0;0;5;21;3;0;4;1;2;0;0;0;0;1;3;0;0;0;4;0;2;3;
org.objectweb.asm.util.TraceFieldVisitor;30;0;0;0;0;0;0;0;0;0;0;9;1;0;6;0;6;0;0;0;2;3;5;0;0;0;5;0;0;0;
