ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.scribe.services.DatatypeConverterEncoder;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;1;1;0;1;1;0;0;0;
org.scribe.model.RequestTest;0;0;0;0;0;0;0;0;0;0;0;44;3;0;14;0;14;0;0;0;0;0;0;0;0;0;2;0;0;0;
org.scribe.builder.api.FreelancerApi;1;0;0;0;0;0;0;0;0;0;0;8;2;0;8;0;8;0;0;1;0;0;2;2;0;0;1;0;0;0;
org.scribe.model.TokenTest;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;
org.scribe.examples.MeetupExample;1;0;0;0;0;0;0;0;0;0;0;21;1;0;1;0;1;1;0;0;0;0;1;1;0;1;9;0;0;0;
org.scribe.extractors.TokenExtractor20Impl;0;0;1;0;0;0;0;0;0;0;1;4;2;0;1;0;1;0;0;0;1;0;0;0;0;0;5;1;0;1;
org.scribe.examples.XingExample;1;0;0;0;0;0;0;0;0;0;0;21;1;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.builder.api.SapoApi;1;0;0;0;0;0;0;0;0;0;0;5;3;0;5;0;5;0;0;0;0;0;1;1;0;0;1;0;0;0;
org.scribe.examples.FlickrExample;1;0;0;0;0;0;0;0;0;0;0;22;1;0;1;0;1;1;0;0;0;0;1;1;0;1;5;0;0;0;
org.scribe.builder.api.SohuWeiboApi;1;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;
org.scribe.builder.api.VimeoApi;1;0;0;0;0;0;0;0;0;0;0;3;1;0;3;0;3;0;0;0;0;0;1;1;0;0;1;0;0;0;
